taxon	committed_n	A_n	B_n	committed_p	A_p	B_p	committed_b	B_b	committed_se	B_se	committed_p_egger	A_p_egger	B_p_egger	committed_q_p	A_q_p	B_q_p	reproduces_A	reproduces_B
genus.unknowngenus.id.959	13	16	13	0.00018750716362479113	0.0009709658574415585	0.00018750716362479116	0.27460640083558846	0.27460640083558846	0.0735169711801726	0.0735169711801726	0.16169533537783837	0.005156709117572781	0.16169533537784	0.6712390358690621	0.5900748692220057	0.6712390358690619	False	True
genus.LachnospiraceaeUCG004.id.11324	14	14	14	0.0028955495787390084	0.0028955495787390084	0.0028955495787390084	-0.3870596468814339	-0.3870596468814339	0.12994621008432816	0.12994621008432816	0.21435902444659713	0.014484553337711698	0.21435902444659716	0.471253826613667	0.47125382661366677	0.47125382661366677	True	True
genus.Butyricicoccus.id.2055	8	8	8	0.016552280044652617	0.016552280044652617	0.016552280044652617	0.3739418058652125	0.3739418058652125	0.15603633152071011	0.15603633152071011	0.4470430776858749	0.05380380762867761	0.4470430776858749	0.6535826064224309	0.653582606422431	0.653582606422431	True	True
genus.Alistipes.id.968	12	12	12	0.01678351472283685	0.016783514722836852	0.016783514722836852	-0.3823393023910937	-0.3823393023910937	0.15987986609153537	0.15987986609153537	0.4943516773715113	0.00978658176441148	0.4943516773715117	0.9664430656396098	0.9664430656396098	0.9664430656396098	True	True
genus.Howardella.id.2000	10	11	10	0.05301023479952125	0.03453662109789639	0.05301023479952124	-0.1486646913496215	-0.1486646913496215	0.07683574887047097	0.07683574887047097	0.19148627507842422	0.1610815963319358	0.19148627507842447	0.28470188867738244	0.3605073478762307	0.2847018886773822	False	True
genus.Lactococcus.id.1851	9	10	9	0.055514258604589264	0.04303931529394536	0.05551425860458927	-0.16127898105919003	-0.16127898105919003	0.0842262906780701	0.0842262906780701	0.6352067361536675	0.08586582951455926	0.6352067361536679	0.649747827524007	0.74205338759138	0.649747827524007	False	True
genus.unknowngenus.id.2041	12	12	12	0.06871238921849	0.04763137205049373	0.06871238921849	0.19596098518304883	0.19596098518304883	0.10765275986374859	0.10765275986374859	0.5202403902918382	0.12219116760451497	0.5202403902918383	0.2918150963512243	0.29181509635122443	0.29181509635122443	False	True
genus.Methanobrevibacter.id.123	6	7	6	0.07412960550003915	0.00901451144645097	0.07412960550003912	-0.18267809464904786	-0.18267809464904786	0.1022941009522371	0.1022941009522371	0.33388101587527286	0.10419108183728253	0.3338810158752723	0.4156733965489404	0.20887067438081441	0.41567339654894025	False	True
genus.unknowngenus.id.1000001215	9	10	9	0.08093047359464114	0.01064813570530265	0.08093047359464112	-0.21984781297396558	-0.21984781297396558	0.1259647215539873	0.1259647215539873	0.4255927517117389	0.059862568209670855	0.42559275171173916	0.11484745161458378	0.14688594212509107	0.11484745161458378	False	True
family.unknownfamily.id.1000001214	9	10	9	0.08093047359464114	0.01064813570530265	0.08093047359464112	-0.21984781297396558	-0.21984781297396558	0.1259647215539873	0.1259647215539873	0.4255927517117389	0.059862568209670855	0.42559275171173916	0.11484745161458378	0.14688594212509107	0.11484745161458378	False	True
order.Gastranaerophilales.id.1591	9	10	9	0.08093047359464114	0.01064813570530265	0.08093047359464112	-0.21984781297396558	-0.21984781297396558	0.1259647215539873	0.1259647215539873	0.4255927517117389	0.059862568209670855	0.42559275171173916	0.11484745161458378	0.14688594212509107	0.11484745161458378	False	True
genus.Oscillospira.id.2064	9	9	9	0.08484055689107106	0.04094028478824737	0.08484055689107106	0.26203045170831796	0.26203045170831796	0.1520546193755414	0.1520546193755414	0.3401314200012469	0.1441314030073648	0.34013142000124635	0.18758320395761696	0.18758320395761696	0.18758320395761696	False	True
family.Peptococcaceae.id.2024	10	10	10	0.09771486818379452	0.09771486818379448	0.09771486818379448	0.19164697800145034	0.19164697800145034	0.11572645283861599	0.11572645283861599	0.552186008018486	0.1169236513828593	0.5521860080184859	0.7233118011803319	0.7233118011803319	0.7233118011803319	True	True
genus.Sutterella.id.2896	12	12	12	0.10360566953427314	0.09072998900970013	0.10360566953427319	0.21519965396058505	0.21519965396058505	0.13221745158460815	0.13221745158460815	0.2706724390199149	0.165424714511972	0.2706724390199157	0.37263614989791033	0.3726361498979102	0.3726361498979102	False	True
genus.Ruminiclostridium9.id.11357	9	12	9	0.10628584783843041	0.14969257966035807	0.10628584783843038	0.28241123140668856	0.28241123140668856	0.17485521188352823	0.17485521188352823	0.6176623176865795	0.3491743069218746	0.6176623176865804	0.5806342503518174	0.6989253923488671	0.5806342503518174	False	True
genus.Victivallis.id.2256	11	12	11	0.11191323190682106	0.16163161423813	0.11191323190682108	0.11055198996996601	0.11055198996996601	0.06954476739048235	0.06954476739048235	0.4473533452871524	0.18522135939270887	0.4473533452871529	0.7548986633293671	0.7646837395727704	0.7548986633293671	False	True
genus.Coprococcus3.id.11303	10	11	10	0.12129586955095081	0.13447856775573433	0.12129586955095081	0.24658242697824817	0.24658242697824817	0.15915143545228386	0.15915143545228386	0.4684502966472475	0.09037035626961085	0.4684502966472483	0.7806610745950948	0.8358385697999235	0.7806610745950948	False	True
genus.LachnospiraceaeUCG010.id.11330	10	10	10	0.13092374024257622	0.13092374024257622	0.13092374024257622	-0.21706729560301616	-0.21706729560301616	0.14370852063301978	0.14370852063301978	0.030257724943205774	0.16241073658800934	0.030257724943205704	0.6964323866897916	0.6964323866897917	0.6964323866897917	True	True
genus.Bilophila.id.3170	13	14	13	0.13137658750005407	0.06587749554164084	0.13137658750005404	-0.23626454585698234	-0.23626454585698234	0.1566018645693896	0.1566018645693896	0.5678789069956548	0.1844407532394045	0.5678789069956534	0.11062941786203784	0.14755996905624844	0.11062941786203784	False	True
genus.unknowngenus.id.2071	16	16	16	0.14556507801950253	0.14556507801950255	0.14556507801950255	-0.15653817720589405	-0.15653817720589405	0.10755854912349848	0.10755854912349848	0.25860429316293226	0.07868602473792552	0.25860429316292816	0.8079824642392851	0.8079824642392851	0.8079824642392851	True	True
genus.RuminococcaceaeUCG014.id.11371	11	13	11	0.146955473914258	0.24446031210872243	0.14695547391425803	0.1795885854992205	0.1795885854992205	0.12382263314276164	0.12382263314276164	0.2916775223841716	0.006377885806781863	0.2916775223841716	0.9710708044253522	0.970608118301315	0.9710708044253522	False	True
