taxon	committed_n	A_n	B_n	committed_p	A_p	B_p	committed_b	B_b	committed_se	B_se	committed_p_egger	A_p_egger	B_p_egger	committed_q_p	A_q_p	B_q_p	reproduces_A	reproduces_B
phylum.Cyanobacteria.id.1500	8	9	8	0.0001162682260157	0.0014091243949792755	0.00011626822601573742		-0.23091605073284163		0.05991806005867716	0.0068581103419307	0.01090963490365882	0.006858110341930746	0.6822719909598773	0.12617493322445816	0.6822719909598775	False	True
genus.Sutterella.id.2896	12	12	12	0.0023188454026624	0.002318845402662404	0.002318845402662404		-0.2058192198437849		0.0675696582405527	0.9987602996840712	0.01276119608338648	0.9987602996840735	0.4453266365408722	0.44532663654087223	0.44532663654087223	True	True
class.Actinobacteria.id.419	16	19	16	0.0037332398017813	8.1065008427984e-09	0.0037332398017813255		0.23804304061768894		0.08208764198432758	0.0201924994770098	0.041562050724922764	0.020192499477010083	0.0101976979713577	0.0004020731149177544	0.01019769797135774	False	True
family.Enterobacteriaceae.id.3469	7	7	7	0.0068360025120357	4.660622866126945e-05	0.006836002512035722		0.38071457354426785		0.14075883371476658	0.2098467406907415	0.10636405210501844	0.20984674069074138	0.0344437851272354	0.03444378512723544	0.03444378512723544	False	True
order.Enterobacteriales.id.3468	7	7	7	0.0068360025120357	4.660622866126945e-05	0.006836002512035722		0.38071457354426785		0.14075883371476658	0.2098467406907415	0.10636405210501844	0.20984674069074138	0.0344437851272354	0.03444378512723544	0.03444378512723544	False	True
order.Bifidobacteriales.id.432	14	18	14	0.00869229958451	1.0540444335836816e-08	0.008692299584510045		0.2587894643999412		0.09862686333345853	0.0092938117129186	0.011124480885558992	0.009293811712918636	0.0006065544917977	4.101553933659313e-06	0.0006065544917977961	False	True
family.Bifidobacteriaceae.id.433	14	18	14	0.00869229958451	1.0540444335836816e-08	0.008692299584510045		0.2587894643999412		0.09862686333345853	0.0092938117129186	0.011124480885558992	0.009293811712918636	0.0006065544917977	4.101553933659313e-06	0.0006065544917977961	False	True
genus.FamilyXIIIAD3011group.id.11293	13	14	13	0.0093476198001255	0.006019372976373613	0.009347619800125594		-0.19872130076246147		0.0764585629430227	0.3592969382499451	0.044347910069265785	0.3592969382499449	0.2220709967552303	0.2195973594372197	0.2220709967552304	False	True
genus.Actinomyces.id.423	8	8	8	0.0116094437157692	0.011609443715769208	0.011609443715769208		0.15167545508067948		0.06009808327695298	0.1239587872807033	0.0023372871998634296	0.12395878728070345	0.7818402351421452	0.7818402351421452	0.7818402351421452	True	True
genus.Bifidobacterium.id.436	15	18	15	0.021302169098876	6.940805513613779e-07	0.021302169098876066		0.18680067820303856		0.08112648525115938	0.1059839466920158	0.02445095562881524	0.10598394669201568	0.0055773009664133	1.901480973630825e-05	0.005577300966413331	False	True
genus.Ruminococcus2.id.11374	15	15	15	0.0254142508024446	0.02541425080244464	0.02541425080244464		-0.1279851845519761		0.05726285560785208	0.7690328047921948	0.0153071861661888	0.7690328047921966	0.9053693645026832	0.9053693645026833	0.9053693645026833	True	True
phylum.Bacteroidetes.id.905	11	13	11	0.0259641256411945	0.01741110975727391	0.02596412564119458		-0.18265143625109892		0.08202609482004947	0.437039748129401	0.007974281627567519	0.4370397481294007	0.8039003334265378	0.7159520987862754	0.8039003334265378	False	True
genus.RuminococcaceaeUCG010.id.11367	6	7	6	0.0270683073175017	0.045177420232088907	0.02706830731750171		0.2194955205749569		0.09929536655134001	0.1473110732915856	0.36459216221008883	0.1473110732915856	0.2570292726165888	0.1129512041913162	0.2570292726165884	False	True
genus.Blautia.id.1992	13	13	13	0.046335373858253	0.024877507968858396	0.04633537385825301		-0.17236753528084528		0.08651575743708595	0.6894432316586776	0.09147390530364655	0.6894432316586779	0.2299566178643754	0.2299566178643756	0.2299566178643756	False	True
family.Methanobacteriaceae.id.121	10	11	10	0.0536338800828032	0.06859244512529517	0.05363388008280324		0.07818990469194351		0.04051748487168467	0.7170165369696618	0.0479481550428141	0.7170165369696614	0.5429248944318753	0.595866094888812	0.5429248944318754	False	True
class.Methanobacteria.id.119	10	11	10	0.0536338800828032	0.06859244512529517	0.05363388008280324		0.07818990469194351		0.04051748487168467	0.7170165369696618	0.0479481550428141	0.7170165369696614	0.5429248944318753	0.595866094888812	0.5429248944318754	False	True
order.Methanobacteriales.id.120	10	11	10	0.0536338800828032	0.06859244512529517	0.05363388008280324		0.07818990469194351		0.04051748487168467	0.7170165369696618	0.0479481550428141	0.7170165369696614	0.5429248944318753	0.595866094888812	0.5429248944318754	False	True
class.Coriobacteriia.id.809	17	19	17	0.0593321347254895	0.008927406415016766	0.05933213472548953		0.16632732460936958		0.08820342215268434	0.9434856381890744	0.07960094533197329	0.9434856381890735	0.0232013097130976	0.026294081135096625	0.023201309713097668	False	True
family.Coriobacteriaceae.id.811	17	19	17	0.0593321347254895	0.008927406415016766	0.05933213472548953		0.16632732460936958		0.08820342215268434	0.9434856381890744	0.07960094533197329	0.9434856381890735	0.0232013097130976	0.026294081135096625	0.023201309713097668	False	True
order.Coriobacteriales.id.810	17	19	17	0.0593321347254895	0.008927406415016766	0.05933213472548953		0.16632732460936958		0.08820342215268434	0.9434856381890744	0.07960094533197329	0.9434856381890735	0.0232013097130976	0.026294081135096625	0.023201309713097668	False	True
class.Betaproteobacteria.id.2867	10	12	10	0.0672218184818802	0.10528253772139394	0.06722181848188029		-0.15975017467092298		0.08728620613522245	0.4459280506898277	0.13160480488027634	0.4459280506898293	0.3474842151887454	0.27112695060553554	0.34748421518874534	False	True
genus.Haemophilus.id.3698	9	9	9	0.0825110604295732	0.0825110604295733	0.0825110604295733		0.0976386773391028		0.056233807047327236	0.0427714849717933	0.06594541702053934	0.04277148497179326	0.4501824701211709	0.45018247012117096	0.45018247012117096	True	True
genus.Anaerotruncus.id.2054	12	12	12	0.0921110338624145	0.09211103386241452	0.09211103386241452		0.1268465613951165		0.07530821163903076	0.1020513806048451	0.051290874543503014	0.10205138060484538	0.453010556018025	0.453010556018025	0.453010556018025	True	True
genus.LachnospiraceaeFCS020group.id.11314	11	14	11	0.0946744611068276	0.13086825124485363	0.09467446110682765		-0.11999873241768826		0.07180225307340948	0.0491315323710218	0.15563628345362807	0.04913153237102185	0.3362913124232203	0.4425498434415689	0.33629131242322036	False	True
family.Actinomycetaceae.id.421	6	6	6	0.0987173030663297	0.09871730306632973	0.09871730306632973		0.11603686100203266		0.07027833985570489	0.0582639809956194	0.028521285054148224	0.058263980995619635	0.9630298265392908	0.9630298265392909	0.9630298265392909	True	True
order.Actinomycetales.id.420	6	6	6	0.0988446677652781	0.09884466776527813	0.09884466776527813		0.11595433771857493		0.07025489072928107	0.0583436262269968	0.02883140143922431	0.05834362622699676	0.9628645702115934	0.9628645702115934	0.9628645702115934	True	True
order.Bacillales.id.1674	8	9	8	0.1124263961279448	0.2732102282480654	0.11242639612794479		-0.06561365435515043		0.04133453614808818	0.760285592428344	0.3924993824835345	0.7602855924283431	0.4150249077415615	0.27608854937277477	0.4150249077415623	False	True
