taxon	committed_n	A_n	B_n	committed_p	A_p	B_p	committed_b	B_b	committed_se	B_se	committed_p_egger	A_p_egger	B_p_egger	committed_q_p	A_q_p	B_q_p	reproduces_A	reproduces_B
family.Oxalobacteraceae.id.2966	14	14	14	0.001524128489569751	0.00015217136550490788	0.0015417589734073765	-0.07494279470936474	-0.07482593072431104	0.02364088927391261	0.02362894487831485	0.9984440202149707	0.05200076103225574	0.9930174768860254	0.13554272343134668	0.13615311375043684	0.13615311375043684	False	False
genus.Oxalobacter.id.2978	10	11	10	0.0025779647216299492	0.0002707444010817828	0.002577964721629949	-0.08097398422674912	-0.08097398422674912	0.026865624956353223	0.026865624956353223	0.4299558459994512	0.04415314704451047	0.429955845999454	0.09093560259131346	0.07520822411176452	0.0909356025913135	False	True
genus..Eubacteriumbrachygroup.id.11296	10	10	10	0.002950458960812058	0.0029504589608120558	0.0029504589608120558	0.06320021710974089	0.06320021710974089	0.0212591140555656	0.0212591140555656	0.6276244201643854	0.006245761808983926	0.6276244201643861	0.6568170653090255	0.6568170653090256	0.6568170653090256	True	True
order.Clostridiales.id.1863	13	15	13	0.0033383461443003437	0.0002467310305962819	0.0033383461443003437	0.13759488978722875	0.13759488978722875	0.046884974295899336	0.046884974295899336	0.8587294042871405	0.008010030072841828	0.8587294042871405	0.09045751018546755	0.14128234321627195	0.09045751018546756	False	True
family.Victivallaceae.id.2255	12	13	12	0.0035486445638287065	0.002215888155946766	0.003548644563828706	0.051800616145401324	0.051800616145401324	0.01776595421019152	0.01776595421019152	0.7765900444984697	0.0007144455958861933	0.7765900444984714	0.5086970197381671	0.5942753902514955	0.5086970197381671	False	True
genus.Gordonibacter.id.821	12	13	12	0.008513683475714996	0.0032866686065144324	0.008513683475715	-0.06853906685655593	-0.06853906685655593	0.02605068715552411	0.02605068715552411	0.1783512224634659	0.1388162170521634	0.17835122246346616	0.012958080564273701	0.00029759791082079826	0.012958080564273682	False	True
genus.FamilyXIIIUCG001.id.11294	8	9	8	0.014484550537916857	0.012747616802748864	0.014484550537916854	0.1028463908412954	0.1028463908412954	0.04206367925029093	0.04206367925029093	0.14871239446649523	0.06168024885531154	0.14871239446649548	0.2796848990404001	0.27502717014208006	0.2796848990403995	False	True
phylum.Cyanobacteria.id.1500	8	9	8	0.02891375109012971	0.0008870245925687101	0.028913751090129718	0.09062698563448206	0.09062698563448206	0.04148332756864486	0.04148332756864486	0.32637958552589424	0.0315423557035349	0.3263795855258948	0.060852690022214904	0.0938964210017532	0.06085269002221486	False	True
genus.Oscillibacter.id.2063	14	15	14	0.032608524147978	0.0019555915981503908	0.032608524147978	-0.07874900234588095	-0.07874900234588095	0.036852491300120804	0.036852491300120804	0.011397627602569665	0.04550480681346065	0.011397627602569665	0.010865914966125635	0.015971353429961765	0.010865914966125637	False	True
class.Clostridia.id.1859	12	14	12	0.038503039118819346	0.0029591653254101256	0.03850303911881934	0.11537359264946237	0.11537359264946237	0.05575060687126048	0.05575060687126048	0.7196662170242201	0.039111470361370755	0.7196662170242198	0.02200443754607066	0.044485376381396914	0.02200443754607067	False	True
genus.Butyricimonas.id.945	12	14	12	0.03942463941568806	0.005386231532107182	0.03942463941568806	0.08314835334411574	0.08314835334411574	0.04036862664750278	0.04036862664750278	0.30043167823477296	0.07358840540118056	0.3004316782347728	0.041820288771036544	0.07904452273196114	0.04182028877103656	False	True
class.Actinobacteria.id.419	16	19	16	0.04486741426066003	0.0007294528574376938	0.04486741426066003	0.08835975193046766	0.08835975193046766	0.04405003074467328	0.04405003074467328	0.13109153222839923	0.5868966167901224	0.13109153222839975	0.007362929473034036	0.00032968874746237565	0.0073629294730340284	False	True
genus.Alistipes.id.968	14	14	14	0.047829135136623055	0.04782913513662306	0.04782913513662306	-0.06890621474889509	-0.06890621474889509	0.034820755275742264	0.034820755275742264	0.03831036920293979	0.14465096815016065	0.03831036920293971	0.6080219216770449	0.6080219216770448	0.6080219216770448	True	True
genus.Slackia.id.825	6	8	6	0.05379650767206632	0.056936909551821596	0.05379650767206632	0.060420302296068484	0.060420302296068484	0.031330669263953566	0.031330669263953566	0.9354876215301459	0.009934071425112337	0.9354876215301454	0.6566990106237542	0.7469713165606653	0.6566990106237542	False	True
phylum.Tenericutes.id.3919	13	13	13	0.05813720819673089	0.05813720819673089	0.05813720819673089	-0.05522040804212034	-0.05522040804212034	0.02914525699743014	0.02914525699743014	0.9053062180525832	0.019474337062661055	0.9053062180525842	0.7195366389456226	0.7195366389456224	0.7195366389456224	True	True
class.Mollicutes.id.3920	13	13	13	0.05813720819673089	0.05813720819673089	0.05813720819673089	-0.05522040804212034	-0.05522040804212034	0.02914525699743014	0.02914525699743014	0.9053062180525832	0.019474337062661055	0.9053062180525842	0.7195366389456226	0.7195366389456224	0.7195366389456224	True	True
class.Bacteroidia.id.912	14	16	14	0.06077689982605466	0.038178714753372096	0.06077689982605466	0.07098594994862646	0.07098594994862646	0.03785685074874003	0.03785685074874003	0.9465719571019345	0.1807539980766213	0.9465719571019333	0.12108431535476068	0.1714203284358635	0.12108431535476061	False	True
order.Bacteroidales.id.913	14	16	14	0.06077689982605466	0.038178714753372096	0.06077689982605466	0.07098594994862646	0.07098594994862646	0.03785685074874003	0.03785685074874003	0.9465719571019345	0.1807539980766213	0.9465719571019333	0.12108431535476068	0.1714203284358635	0.12108431535476061	False	True
genus.Parabacteroides.id.954	7	7	7	0.061346096701083444	0.06134609670108346	0.06134609670108346	0.08904468306523942	0.08904468306523942	0.04759221368691402	0.04759221368691402	0.11059180032139458	0.11139093270536435	0.11059180032139476	0.5623488414837299	0.5623488414837301	0.5623488414837301	True	True
genus.Clostridiumsensustricto1.id.1873	7	8	7	0.0655823547074135	0.041815101881234586	0.06558235470741348	-0.07053164308114182	-0.07053164308114182	0.03830602540068971	0.03830602540068971	0.04290610451293824	0.021569166736886556	0.04290610451293823	0.850349454371123	0.9063771588245317	0.850349454371123	False	True
genus.Ruminococcus2.id.11374	15	15	15	0.0775329735300048	0.07312548545633873	0.0775329735300048	-0.05251484742006551	-0.05251484742006551	0.029750365893098103	0.029750365893098103	0.13437512050879705	0.13319786179312978	0.1343751205087969	0.41823756308018006	0.41823756308018006	0.41823756308018006	False	True
family.unknownfamily.id.1000005471	14	15	14	0.08145470672931099	0.04896833834144394	0.081454706729311	-0.04788697073148409	-0.04788697073148409	0.02748480355436129	0.02748480355436129	0.6310427186101717	0.05268406442435259	0.6310427186101715	0.6333985537924676	0.6712051789666139	0.6333985537924676	False	True
order.MollicutesRF9.id.11579	14	15	14	0.08145470672931099	0.04896833834144394	0.081454706729311	-0.04788697073148409	-0.04788697073148409	0.02748480355436129	0.02748480355436129	0.6310427186101717	0.05268406442435259	0.6310427186101715	0.6333985537924676	0.6712051789666139	0.6333985537924676	False	True
genus.unknowngenus.id.1000005472	14	15	14	0.08145470672931099	0.04896833834144394	0.081454706729311	-0.04788697073148409	-0.04788697073148409	0.02748480355436129	0.02748480355436129	0.6310427186101717	0.05268406442435259	0.6310427186101715	0.6333985537924676	0.6712051789666139	0.6333985537924676	False	True
order.Erysipelotrichales.id.2148	13	13	13	0.09903512264838972	0.04610501009990106	0.09903512264838972	0.07622753031963828	0.07622753031963828	0.04621112185243747	0.04621112185243747	0.0984991752100086	0.1437982924240781	0.09849917521000878	0.13030841709559413	0.13030841709559393	0.13030841709559393	False	True
class.Erysipelotrichia.id.2147	13	13	13	0.09903512264838972	0.04610501009990106	0.09903512264838972	0.07622753031963828	0.07622753031963828	0.04621112185243747	0.04621112185243747	0.0984991752100086	0.1437982924240781	0.09849917521000878	0.13030841709559413	0.13030841709559393	0.13030841709559393	False	True
family.Erysipelotrichaceae.id.2149	13	13	13	0.09903512264838972	0.04610501009990106	0.09903512264838972	0.07622753031963828	0.07622753031963828	0.04621112185243747	0.04621112185243747	0.0984991752100086	0.1437982924240781	0.09849917521000878	0.13030841709559413	0.13030841709559393	0.13030841709559393	False	True
genus..Clostridiuminnocuumgroup.id.14397	9	10	9	0.09918448696064633	0.2152902232556132	0.09918448696064636	0.037915567923803184	0.037915567923803184	0.02299557539791517	0.02299557539791517	0.49706973607846017	0.1388804631854483	0.49706973607845883	0.9358196792254562	0.8215030998421613	0.9358196792254562	False	True
genus.RuminococcaceaeUCG009.id.11366	12	13	12	0.09995351209171571	0.015404086146793016	0.09995351209171571	0.049270432038998696	0.049270432038998696	0.029950191327585925	0.029950191327585925	0.2657074295857296	0.0866287242876662	0.2657074295857296	0.1472919635696421	0.10762415732384985	0.1472919635696421	False	True
genus.LachnospiraceaeND3007group.id.11317	3	3	3	0.10372501456098195	0.10372501456098195	0.10372501456098195	0.12125193562687755	0.12125193562687755	0.07452224685174702	0.07452224685174702	0.8581652931490307	0.02838511606002072	0.858165293149025	0.9060691897270623	0.9060691897270623	0.9060691897270623	True	True
genus.ErysipelotrichaceaeUCG003.id.11384	17	17	17	0.1048738815119988	0.02912211582575384	0.10487388151199879	-0.05982866725279224	-0.05982866725279224	0.036893228855128704	0.036893228855128704	0.027575550322250744	0.051948722519879934	0.027575550322251133	0.02419009691751407	0.02419009691751406	0.02419009691751406	False	True
genus.RuminococcaceaeUCG004.id.11362	11	11	11	0.10802311642881114	0.03818253390668184	0.10802311642881116	0.06242445342774834	0.06242445342774834	0.038841891241524165	0.038841891241524165	0.5297234536035494	0.08576358635417386	0.5297234536035494	0.08282137665942489	0.08282137665942485	0.08282137665942485	False	True
phylum.Firmicutes.id.1672	17	18	17	0.11542541334923136	0.07948724950799131	0.11542541334923134	0.06800524733998951	0.06800524733998951	0.04319800079166593	0.04319800079166593	0.8111279472339796	0.14717222392680385	0.8111279472339813	0.030447964186763293	0.025893565957693952	0.0304479641867633	False	True
phylum.Bacteroidetes.id.905	13	15	13	0.12182893759955879	0.09281209821510306	0.12182893759955872	0.059306676609306656	0.059306676609306656	0.03833304595889359	0.03833304595889359	0.917890806915938	0.19764879035669905	0.9178908069159374	0.1459047780831473	0.21893156739478248	0.14590477808314747	False	True
family.unknownfamily.id.1000001214	9	10	9	0.12572485589978183	0.06685476480867264	0.12572485589978183	0.044313012210464506	0.044313012210464506	0.028940428690672357	0.028940428690672357	0.36890798202619896	0.11185397368048293	0.36890798202619934	0.21053317524506499	0.2848628295179457	0.21053317524506499	False	True
order.Gastranaerophilales.id.1591	9	10	9	0.12572485589978183	0.06685476480867264	0.12572485589978183	0.044313012210464506	0.044313012210464506	0.028940428690672357	0.028940428690672357	0.36890798202619896	0.11185397368048293	0.36890798202619934	0.21053317524506499	0.2848628295179457	0.21053317524506499	False	True
genus.unknowngenus.id.1000001215	9	10	9	0.12572485589978183	0.06685476480867264	0.12572485589978183	0.044313012210464506	0.044313012210464506	0.028940428690672357	0.028940428690672357	0.36890798202619896	0.11185397368048293	0.36890798202619934	0.21053317524506499	0.2848628295179457	0.21053317524506499	False	True
genus.unknowngenus.id.1000006162	13	14	13	0.12771455442334906	0.2911327903722102	0.12771455442334903	0.029009470755149494	0.029009470755149494	0.019045377082352037	0.019045377082352037	0.5758455786943826	0.34768613249532676	0.575845578694382	0.8825799216803967	0.6339988295348562	0.8825799216803967	False	True
order.NB1n.id.3953	13	14	13	0.12771455442334906	0.2911327903722102	0.12771455442334903	0.029009470755149494	0.029009470755149494	0.019045377082352037	0.019045377082352037	0.5758455786943826	0.34768613249532676	0.575845578694382	0.8825799216803967	0.6339988295348562	0.8825799216803967	False	True
family.unknownfamily.id.1000006161	13	14	13	0.12771455442334906	0.2911327903722102	0.12771455442334903	0.029009470755149494	0.029009470755149494	0.019045377082352037	0.019045377082352037	0.5758455786943826	0.34768613249532676	0.575845578694382	0.8825799216803967	0.6339988295348562	0.8825799216803967	False	True
genus.Veillonella.id.2198	8	11	8	0.13105739037136263	0.340510819077803	0.1310573903713626	0.054701570228534474	0.054701570228534474	0.036227518553325455	0.036227518553325455	0.5792264637122368	0.7547524398579268	0.5792264637122333	0.5889016934706335	0.31358293584585356	0.5889016934706337	False	True
family.Porphyromonadaceae.id.943	10	12	10	0.13300115941836968	0.14995047460384403	0.13300115941836965	0.08313651718324976	0.08313651718324976	0.05533685250050686	0.05533685250050686	0.9418561152360387	0.5568748983337442	0.9418561152360403	0.11487043584902028	0.10800580145610691	0.11487043584902042	False	True
genus.Enterorhabdus.id.820	6	9	6	0.13621049976724886	0.00233136248505826	0.13621049976724883	-0.046625890871122934	-0.046625890871122934	0.03129144704784356	0.03129144704784356	0.4925137182200666	0.025518257398124772	0.49251371822006734	0.3701346926980177	0.3172772991150221	0.370134692698018	False	True
genus.RuminococcaceaeUCG005.id.11363	14	16	14	0.14001851251470482	0.21332880705826762	0.1400185125147048	-0.04625743736338538	-0.04625743736338538	0.03134562908808355	0.03134562908808355	0.40883185387100923	0.4925102670297945	0.40883185387100957	0.7933424125012922	0.5922177416880419	0.7933424125012921	False	True
genus.Dialister.id.2183	11	12	11	0.1432750949074326	0.13420997348309024	0.1432750949074326	0.07213197305138958	0.07213197305138958	0.04928046833659333	0.04928046833659333	0.23428805422889817	0.3558094930634807	0.23428805422889856	0.02979240023569802	0.012416307143241328	0.029792400235697996	False	True
genus.Bifidobacterium.id.436	15	18	15	0.15268128641035433	0.006161898142679731	0.15268128641035436	0.06213627583890284	0.06213627583890284	0.043448158081874334	0.043448158081874334	0.2505364924325795	0.1562652695017675	0.2505364924325798	0.0021871891756561697	0.0002469900308319378	0.002187189175656173	False	True
genus.Lachnospira.id.2004	6	6	6	0.15423349881376647	0.15423349881376647	0.15423349881376647	0.07517259931204713	0.07517259931204713	0.05276247239894741	0.05276247239894741	0.289569769062117	0.07182181341370829	0.2895697690621168	0.9372646801876601	0.9372646801876601	0.9372646801876601	True	True
order.Lactobacillales.id.1800	15	17	15	0.16131221925425354	0.255610470141461	0.16131221925425343	-0.05277971256096035	-0.05277971256096035	0.037681711050677656	0.037681711050677656	0.05663810192532689	0.5004590815617367	0.056638101925326895	0.18810766354887953	0.16243453148981174	0.1881076635488795	False	True
family.Acidaminococcaceae.id.2166	7	8	7	0.1760328399184209	0.3292960497980352	0.17603283991842078	-0.06888722654227016	-0.06888722654227016	0.05091174751875546	0.05091174751875546	0.0671741345643089	0.1952295054710271	0.06717413456430889	0.15875388634055623	0.042014204258744234	0.15875388634055623	False	True
class.Melainabacteria.id.1589	11	12	11	0.1805632117217315	0.11549373978716948	0.1805632117217315	0.036205625928420734	0.036205625928420734	0.02703883959364334	0.02703883959364334	0.37771089671656993	0.14407546339256827	0.37771089671657	0.24060554716798851	0.3128874977118294	0.24060554716798846	False	True
genus..Eubacteriumnodatumgroup.id.11297	11	11	11	0.19201008778880746	0.11853891873153025	0.19201008778880746	-0.02822335120932315	-0.02822335120932315	0.021632795256239665	0.021632795256239665	0.7351688230350072	0.21877644972150379	0.7351688230350077	0.15912076257191618	0.15912076257191626	0.15912076257191626	False	True
genus.Faecalibacterium.id.2057	10	12	10	0.19334503640695877	0.06731941843179233	0.19334503640695855	-0.06696601755863014	-0.06696601755863014	0.05148273468204913	0.05148273468204913	0.7562319116509449	0.21846165050196814	0.7562319116509447	0.028320616899856925	0.03641013411282958	0.028320616899856887	False	True
genus.Victivallis.id.2256	11	12	11	0.20264514264146183	0.03067814270856076	0.20264514264146183	0.029883228062214235	0.029883228062214235	0.023455273645319245	0.023455273645319245	0.6759401806125814	0.15829097876721232	0.6759401806125802	0.06005078622846872	0.05772622493008489	0.06005078622846872	False	True
family.Clostridiaceae1.id.1869	10	11	10	0.20335672406995198	0.0846528741733682	0.20335672406995187	-0.055853541544154214	-0.055853541544154214	0.04390842402851831	0.04390842402851831	0.25787794641356876	0.20185205225216535	0.2578779464135688	0.1881448131508735	0.24024471713634543	0.18814481315087328	False	True
class.Gammaproteobacteria.id.3303	7	8	7	0.20615526887615288	0.07742205112152196	0.20615526887615288	-0.08262640423359192	-0.08262640423359192	0.06535821950216042	0.06535821950216042	0.9247189156201543	0.23640212284633697	0.9247189156201543	0.055882923472199454	0.08597998275397434	0.055882923472199454	False	True
genus..Ruminococcusgauvreauiigroup.id.11342	12	13	12	0.2134232256353129	0.03811402094263103	0.2134232256353129	-0.05723869018160426	-0.05723869018160426	0.04600413746664771	0.04600413746664771	0.09976300561093596	0.17035516655365604	0.09976300561093582	0.030277409333166687	0.03285176781995941	0.030277409333166708	False	True
genus.Marvinbryantia.id.2005	10	11	10	0.23022085186604035	0.3167877251243113	0.23022085186604035	-0.050873248733059644	-0.050873248733059644	0.042401789072910694	0.042401789072910694	0.8971411592875853	0.329723514435045	0.8971411592875846	0.15740998764905823	0.10432201545442342	0.15740998764905825	False	True
genus.Ruminiclostridium5.id.11355	12	15	12	0.23564537914074668	0.3089389691393639	0.23564537914074668	0.04734024194639483	0.04734024194639483	0.039917853924948496	0.039917853924948496	0.7710539318845818	0.48621770240481865	0.7710539318845815	0.3151347138583341	0.35864902912404867	0.315134713858334	False	True
family.Alcaligenaceae.id.2875	14	17	14	0.2525062468057159	0.22867887862500702	0.2525062468057159	-0.04047524711615277	-0.04047524711615277	0.035371707290797215	0.035371707290797215	0.4990618792626377	0.1153987522906056	0.49906187926263823	0.8797144780519719	0.9055147052126671	0.8797144780519719	False	True
family.Lachnospiraceae.id.1987	17	17	17	0.25578870460577785	0.11882440024530996	0.25578870460577785	0.04831246027136335	0.04831246027136335	0.04251356067599549	0.04251356067599549	0.33975924415129266	0.29705479906715326	0.33975924415129216	0.01728600421560533	0.017286004215605326	0.017286004215605326	False	True
