taxon	n_snp	or_displayed	lci	uci	b_recon	se_recon	p_stored	p_recon	log10p_delta	qc
phylum.Cyanobacteria.id.1500	8	0.79	0.71	0.89	-0.229512	0.057643	0.0001162682260157	6.844986416263928e-05	0.2301	FAIL
genus.Sutterella.id.2896	12	0.81	0.71	0.93	-0.207531	0.068858	0.0023188454026624	0.002579320443204943	0.0462	PASS
class.Actinobacteria.id.419	16	1.27	1.08	1.49	0.237869	0.082097	0.0037332398017813	0.003762670636682941	0.0034	PASS
family.Enterobacteriaceae.id.3469	7	1.46	1.11	1.93	0.38094	0.141115	0.0068360025120357	0.006944299307033554	0.0068	PASS
order.Enterobacteriales.id.3468	7	1.46	1.11	1.93	0.38094	0.141115	0.0068360025120357	0.006944299307033554	0.0068	PASS
order.Bifidobacteriales.id.432	14	1.3	1.07	1.57	0.259367	0.097812	0.00869229958451	0.008009155737260031	0.0355	PASS
family.Bifidobacteriaceae.id.433	14	1.3	1.07	1.57	0.259367	0.097812	0.00869229958451	0.008009155737260031	0.0355	PASS
genus.FamilyXIIIAD3011group.id.11293	13	0.82	0.71	0.95	-0.196892	0.074286	0.0093476198001255	0.008038580206058707	0.0655	PASS
genus.Actinomyces.id.423	8	1.16	1.03	1.31	0.149793	0.061345	0.0116094437157692	0.014613890905277671	0.1	PASS
genus.Bifidobacterium.id.436	15	1.21	1.03	1.41	0.186574	0.080111	0.021302169098876	0.019862495826296126	0.0304	PASS
genus.Ruminococcus2.id.11374	15	0.88	0.79	0.98	-0.127963	0.054981	0.0254142508024446	0.019943125032384722	0.1053	PASS
phylum.Bacteroidetes.id.905	11	0.83	0.71	0.98	-0.181347	0.082218	0.0259641256411945	0.02740599195595073	0.0235	PASS
genus.RuminococcaceaeUCG010.id.11367	6	1.25	1.03	1.51	0.220834	0.097591	0.0270683073175017	0.0236450857518633	0.0587	PASS
genus.Blautia.id.1992	13	0.84	0.71	1.0	-0.171245	0.087372	0.046335373858253	0.049999998192884795	0.0331	PASS
family.Methanobacteriaceae.id.121	10	1.08	1.0	1.17	0.078502	0.040053	0.0536338800828032	0.04999999819288484	0.0305	PASS
class.Methanobacteria.id.119	10	1.08	1.0	1.17	0.078502	0.040053	0.0536338800828032	0.04999999819288484	0.0305	PASS
order.Methanobacteriales.id.120	10	1.08	1.0	1.17	0.078502	0.040053	0.0536338800828032	0.04999999819288484	0.0305	PASS
class.Coriobacteriia.id.809	17	1.18	0.99	1.4	0.163211	0.0884	0.0593321347254895	0.06485261590651206	0.0386	PASS
family.Coriobacteriaceae.id.811	17	1.18	0.99	1.4	0.163211	0.0884	0.0593321347254895	0.06485261590651206	0.0386	PASS
order.Coriobacteriales.id.810	17	1.18	0.99	1.4	0.163211	0.0884	0.0593321347254895	0.06485261590651206	0.0386	PASS
class.Betaproteobacteria.id.2867	10	0.85	0.72	1.01	-0.159277	0.086342	0.0672218184818802	0.06507816899306841	0.0141	PASS
genus.Haemophilus.id.3698	9	1.1	0.99	1.23	0.098482	0.055375	0.0825110604295732	0.07532721469945236	0.0396	PASS
genus.Anaerotruncus.id.2054	12	1.14	0.98	1.32	0.128715	0.07598	0.0921110338624145	0.09025247116959238	0.0089	PASS
genus.LachnospiraceaeFCS020group.id.11314	11	0.89	0.77	1.02	-0.120781	0.071728	0.0946744611068276	0.0922042126754085	0.0115	PASS
family.Actinomycetaceae.id.421	6	1.12	0.98	1.29	0.11722	0.070115	0.0987173030663297	0.09455855996408805	0.0187	PASS
order.Actinomycetales.id.420	6	1.12	0.98	1.29	0.11722	0.070115	0.0988446677652781	0.09455855996408805	0.0193	PASS
order.Bacillales.id.1674	8	0.94	0.86	1.02	-0.06551	0.043528	0.1124263961279448	0.13231866064613035	0.0708	PASS
genus.Anaerofilum.id.2053	10	0.93	0.84	1.02	-0.077275	0.049531	0.1159917896933985	0.11872271077967558	0.0101	PASS
class.Gammaproteobacteria.id.3303	7	1.18	0.96	1.44	0.161911	0.103437	0.1183722556924748	0.11751073229934168	0.0032	PASS
family.Prevotellaceae.id.960	16	0.89	0.77	1.03	-0.115903	0.074217	0.129885649513473	0.11836191398118423	0.0403	PASS
genus.Howardella.id.2000	10	0.94	0.87	1.02	-0.05973	0.040578	0.1324919347508834	0.14103281019214123	0.0271	PASS
family.Peptostreptococcaceae.id.2042	13	0.9	0.78	1.03	-0.109451	0.070925	0.1338824958076868	0.12278189259623264	0.0376	PASS
genus.Roseburia.id.2012	14	0.85	0.69	1.05	-0.161137	0.107108	0.1376505498152619	0.13246837345106288	0.0167	PASS
genus.Coprococcus2.id.11302	9	0.89	0.76	1.04	-0.117608	0.080016	0.1399514170867796	0.14161483050058538	0.0051	PASS
genus.Turicibacter.id.2162	10	0.92	0.82	1.03	-0.084446	0.058167	0.1539824226418205	0.1465597057472782	0.0215	PASS
order.Bacteroidales.id.913	12	0.89	0.76	1.04	-0.117608	0.080016	0.1548519472051473	0.14161483050058538	0.0388	PASS
class.Bacteroidia.id.912	12	0.89	0.76	1.04	-0.117608	0.080016	0.1548519472051473	0.14161483050058538	0.0388	PASS
order.Selenomonadales.id.2165	12	0.89	0.76	1.05	-0.112823	0.082457	0.1552247453590418	0.1712299476575896	0.0426	PASS
class.Negativicutes.id.2164	12	0.89	0.76	1.05	-0.112823	0.082457	0.1552247453590418	0.1712299476575896	0.0426	PASS
