taxon	n_snp	OR (95% CI)	p_ivw	fdr_ivw	p_egger	egger_intercept_p	p_wmedian	q_p
phylum.Cyanobacteria.id.1500	8	0.79 (0.71-0.89)	0.0001162682260157	0.0245325956893205	0.0068581103419307	0.0514298020500341	0.0012897428022552	0.6822719909598773
genus.Sutterella.id.2896	12	0.81 (0.71-0.93)	0.0023188454026624	0.2446381899808835	0.9987602996840712	0.4944685857396699	0.0046049228072681	0.4453266365408722
class.Actinobacteria.id.419	16	1.27 (1.08-1.49)	0.0037332398017813	0.2465434722283126	0.0201924994770098	0.1130995473925166	0.0637659981697589	0.0101976979713577
family.Enterobacteriaceae.id.3469	7	1.46 (1.11-1.93)	0.0068360025120357	0.2465434722283126	0.2098467406907415	0.36300266796714	0.007415985386148	0.0344437851272354
order.Enterobacteriales.id.3468	7	1.46 (1.11-1.93)	0.0068360025120357	0.2465434722283126	0.2098467406907415	0.36300266796714	0.0068598641005914	0.0344437851272354
order.Bifidobacteriales.id.432	14	1.30 (1.07-1.57)	0.00869229958451	0.2465434722283126	0.0092938117129186	0.0376248283706299	0.0056323618200334	0.0006065544917977
family.Bifidobacteriaceae.id.433	14	1.30 (1.07-1.57)	0.00869229958451	0.2465434722283126	0.0092938117129186	0.0376248283706299	0.004474716199724	0.0006065544917977
genus.FamilyXIIIAD3011group.id.11293	13	0.82 (0.71-0.95)	0.0093476198001255	0.2465434722283126	0.3592969382499451	0.1439576741443655	0.156014732960991	0.2220709967552303
genus.Actinomyces.id.423	8	1.16 (1.03-1.31)	0.0116094437157692	0.2721769582252558	0.1239587872807033	0.5737367651828298	0.0317284964204444	0.7818402351421452
genus.Bifidobacterium.id.436	15	1.21 (1.03-1.41)	0.021302169098876	0.4393394495379121	0.1059839466920158	0.3701194866983007	0.1380650417584157	0.0055773009664133
genus.Ruminococcus2.id.11374	15	0.88 (0.79-0.98)	0.0254142508024446	0.4393394495379121	0.7690328047921948	0.3123793916992416	0.2062905353282431	0.9053693645026832
phylum.Bacteroidetes.id.905	11	0.83 (0.71-0.98)	0.0259641256411945	0.4393394495379121	0.437039748129401	0.6816074401298865	0.0932947886465813	0.8039003334265378
genus.RuminococcaceaeUCG010.id.11367	6	1.25 (1.03-1.51)	0.0270683073175017	0.4393394495379121	0.1473110732915856	0.3524349494406243	0.1333446560968841	0.2570292726165888
genus.Blautia.id.1992	13	0.84 (0.71-1.00)	0.046335373858253	0.6259540213539146	0.6894432316586776	0.733597746098802	0.1761900659753478	0.2299566178643754
family.Methanobacteriaceae.id.121	10	1.08 (1.00-1.17)	0.0536338800828032	0.6259540213539146	0.7170165369696618	0.3965438884257393	0.0557656942421163	0.5429248944318753
class.Methanobacteria.id.119	10	1.08 (1.00-1.17)	0.0536338800828032	0.6259540213539146	0.7170165369696618	0.3965438884257393	0.0733372976557683	0.5429248944318753
order.Methanobacteriales.id.120	10	1.08 (1.00-1.17)	0.0536338800828032	0.6259540213539146	0.7170165369696618	0.3965438884257393	0.0681694472334682	0.5429248944318753
class.Coriobacteriia.id.809	17	1.18 (0.99-1.40)	0.0593321347254895	0.6259540213539146	0.9434856381890744	0.5935476683696811	0.7329326494545632	0.0232013097130976
family.Coriobacteriaceae.id.811	17	1.18 (0.99-1.40)	0.0593321347254895	0.6259540213539146	0.9434856381890744	0.5935476683696811	0.7315854875004448	0.0232013097130976
order.Coriobacteriales.id.810	17	1.18 (0.99-1.40)	0.0593321347254895	0.6259540213539146	0.9434856381890744	0.5935476683696811	0.722981863407681	0.0232013097130976
class.Betaproteobacteria.id.2867	10	0.85 (0.72-1.01)	0.0672218184818802	0.6754192237941306	0.4459280506898277	0.1741607105076727	0.0681834011284074	0.3474842151887454
genus.Haemophilus.id.3698	9	1.10 (0.99-1.23)	0.0825110604295732	0.7561131893472118	0.0427714849717933	0.1193420760292405	0.089895910963387	0.4501824701211709
genus.Anaerotruncus.id.2054	12	1.14 (0.98-1.32)	0.0921110338624145	0.7561131893472118	0.1020513806048451	0.2320944885662821	0.2413195237821942	0.453010556018025
genus.LachnospiraceaeFCS020group.id.11314	11	0.89 (0.77-1.02)	0.0946744611068276	0.7561131893472118	0.0491315323710218	0.123254693977755	0.0985182820188529	0.3362913124232203
family.Actinomycetaceae.id.421	6	1.12 (0.98-1.29)	0.0987173030663297	0.7561131893472118	0.0582639809956194	0.3058290374370846	0.0848633428031711	0.9630298265392908
order.Actinomycetales.id.420	6	1.12 (0.98-1.29)	0.0988446677652781	0.7561131893472118	0.0583436262269968	0.3046502265507028	0.0914226005736396	0.9628645702115934
order.Bacillales.id.1674	8	0.94 (0.86-1.02)	0.1124263961279448	0.7561131893472118	0.760285592428344	0.9648763307395438	0.6332619823945419	0.4150249077415615
genus.Anaerofilum.id.2053	10	0.93 (0.84-1.02)	0.1159917896933985	0.7561131893472118	0.1467582137353414	0.2208333801154741	0.0851925417517155	0.376217435759178
class.Gammaproteobacteria.id.3303	7	1.18 (0.96-1.44)	0.1183722556924748	0.7561131893472118	0.5118039377529517	0.2570096122075778	0.3871249283828718	0.3628464413116771
family.Prevotellaceae.id.960	16	0.89 (0.77-1.03)	0.129885649513473	0.7561131893472118	0.0276988084076188	0.0574337551320967	0.222457951827485	0.081274958540528
genus.Howardella.id.2000	10	0.94 (0.87-1.02)	0.1324919347508834	0.7561131893472118	0.684769151306984	0.4437024181786677	0.374037403874221	0.2676144274242581
family.Peptostreptococcaceae.id.2042	13	0.90 (0.78-1.03)	0.1338824958076868	0.7561131893472118	0.4347510265107899	0.1194292585734304	0.8012432082515484	0.1806883326231285
genus.Roseburia.id.2012	14	0.85 (0.69-1.05)	0.1376505498152619	0.7561131893472118	0.9610127099740776	0.5919612039760933	0.1558526669074992	0.0055493894122485
genus.Coprococcus2.id.11302	9	0.89 (0.76-1.04)	0.1399514170867796	0.7561131893472118	0.5690968913630872	0.7388434278663009	0.0660435719011269	0.3210576876426189
genus.Turicibacter.id.2162	10	0.92 (0.82-1.03)	0.1539824226418205	0.7561131893472118	0.464827155923538	0.2482268346241812	0.4051681256522971	0.8018574259931528
order.Bacteroidales.id.913	12	0.89 (0.76-1.04)	0.1548519472051473	0.7561131893472118	0.4839410559783543	0.8744664621232735	0.1320565219978159	0.4482665282786418
class.Bacteroidia.id.912	12	0.89 (0.76-1.04)	0.1548519472051473	0.7561131893472118	0.4839410559783543	0.8744664621232735	0.1307263169085381	0.4482665282786418
order.Selenomonadales.id.2165	12	0.89 (0.76-1.05)	0.1552247453590418	0.7561131893472118	0.5671265153516462	0.8423286283505432	0.1879617989795721	0.3274455811305276
class.Negativicutes.id.2164	12	0.89 (0.76-1.05)	0.1552247453590418	0.7561131893472118	0.5671265153516462	0.8423286283505432	0.1802368812882943	0.3274455811305276
genus.DefluviitaleaceaeUCG011.id.11287	9	1.10 (0.97-1.24)	0.1555105391067045	0.7561131893472118	0.9953918712984676	0.4621971699699794	0.3951380510818084	0.9782116348245836
genus.RuminococcaceaeNK4A214group.id.11358	13	1.10 (0.96-1.26)	0.1587900921648609	0.7561131893472118	0.0197662120670801	0.0395912085028661	0.011274639319924	0.4478459476769223
phylum.Firmicutes.id.1672	16	0.91 (0.81-1.04)	0.1599823912317156	0.7561131893472118	0.0941106901474565	0.2469295149918614	0.0962418046985197	0.8580035721899493
genus.unknowngenus.id.2001	10	1.09 (0.97-1.23)	0.1609595064229287	0.7561131893472118	0.2593830519544826	0.0922000962993316	0.8135099843346967	0.3507299138103791
family.unknownfamily.id.1000005471	13	1.08 (0.97-1.21)	0.1693612537808303	0.7561131893472118	0.7961131950129875	0.8401294290473396	0.671953243597829	0.6195703941553625
genus.unknowngenus.id.1000005472	13	1.08 (0.97-1.21)	0.1693612537808303	0.7561131893472118	0.7961131950129875	0.8401294290473396	0.6690048675464093	0.6195703941553625
order.MollicutesRF9.id.11579	13	1.08 (0.97-1.21)	0.1693612537808303	0.7561131893472118	0.7961131950129875	0.8401294290473396	0.6712499440647344	0.6195703941553625
genus.Enterorhabdus.id.820	6	0.90 (0.78-1.04)	0.1723942884167909	0.7561131893472118	0.3593000719826199	0.7310068930741856	0.1575547232780707	0.814045532519152
genus.Intestinibacter.id.11345	14	1.08 (0.96-1.22)	0.1792966128516786	0.7561131893472118	0.3178126966001431	0.5887351968230087	0.238722375017147	0.9021522095682828
genus.Phascolarctobacterium.id.2168	9	0.91 (0.79-1.05)	0.1810911787998129	0.7561131893472118	0.4075930342023898	0.6153256590185082	0.5136343283863589	0.8186156704558792
order.Desulfovibrionales.id.3156	12	0.90 (0.77-1.05)	0.1811146120205606	0.7561131893472118	0.9568091073746984	0.5446725035529979	0.4476527059925427	0.1730467061530657
family.Lactobacillaceae.id.1836	9	1.13 (0.94-1.36)	0.1827572163825014	0.7561131893472118	0.9436446619612554	0.6445591462216113	0.1603406875455475	0.0010554364389389
genus.Oscillibacter.id.2063	13	0.93 (0.83-1.04)	0.194408106543139	0.7790597647890511	0.879553868069821	0.8634627124146038	0.2641332059181351	0.2226755553561294
order.Burkholderiales.id.2874	10	0.88 (0.72-1.07)	0.1956879977906147	0.7790597647890511	0.398182422912018	0.201168665460429	0.1280007173242586	0.1340183241457368
genus.unknowngenus.id.1868	9	0.91 (0.78-1.06)	0.2107980895181731	0.8236740164506394	0.1651427400983303	0.0697250772100315	0.5689885901311679	0.2230230505181261
genus.Olsenella.id.822	11	1.05 (0.97-1.15)	0.2215683093819211	0.8412814193645305	0.5445253347054853	0.3221409679281328	0.2900879300067339	0.1861775711411039
genus.Lactobacillus.id.1837	8	1.12 (0.93-1.35)	0.2260563744416283	0.8412814193645305	0.8269055474628726	0.4861894717612425	0.6814568484562658	0.0019489522459376
genus.Coprococcus3.id.11303	10	1.15 (0.91-1.46)	0.236724171889422	0.8412814193645305	0.8464642428532022	0.6986597450016756	0.0529074629490795	0.0353046356382034
genus.LachnospiraceaeUCG010.id.11330	10	0.91 (0.77-1.07)	0.2395281190026164	0.8412814193645305	0.7018093646426609	0.9732141554676887	0.8910360422361739	0.2787052651789149
genus..Ruminococcustorquesgroup.id.14377	9	0.87 (0.69-1.10)	0.2452280768260226	0.8412814193645305	0.3111504389420833	0.4593846162053182	0.4464910335744596	0.1310523561796606
class.Deltaproteobacteria.id.3087	13	0.92 (0.80-1.06)	0.2469349512489591	0.8412814193645305	0.8941919039236291	0.761586449414806	0.5489985872763234	0.3239768765075054
genus.Sellimonas.id.14369	10	1.04 (0.97-1.12)	0.2474624331801685	0.8412814193645305	0.0124019717769647	0.023344684343631	0.1653342229900019	0.9545031117904542
order.Clostridiales.id.1863	13	0.91 (0.78-1.07)	0.2573657599987221	0.8412814193645305	0.3895980587723391	0.5203112842286505	0.7506402158755886	0.266097338736081
family.Porphyromonadaceae.id.943	10	1.17 (0.89-1.54)	0.2616353148569381	0.8412814193645305	0.1900665363165997	0.1022920368669683	0.1111611893431695	0.0084088231435185
family.Rikenellaceae.id.967	18	0.92 (0.80-1.07)	0.2702071387440753	0.8412814193645305	0.6811697211054749	0.9328128607784412	0.174497094297492	0.1039919328583513
family.Ruminococcaceae.id.2050	10	1.09 (0.94-1.26)	0.2749727772853787	0.8412814193645305	0.9384975996391374	0.6413877549704307	0.5641684095763326	0.518741092606192
family.unknownfamily.id.1000001214	9	0.94 (0.85-1.05)	0.279712768256565	0.8412814193645305	0.0806427816936744	0.1351893500838079	0.5544843339384246	0.6032281439665157
order.Gastranaerophilales.id.1591	9	0.94 (0.85-1.05)	0.279712768256565	0.8412814193645305	0.0806427816936744	0.1351893500838079	0.5592747649712979	0.6032281439665157
genus.unknowngenus.id.1000001215	9	0.94 (0.85-1.05)	0.279712768256565	0.8412814193645305	0.0806427816936744	0.1351893500838079	0.5607701251734541	0.6032281439665157
genus.Collinsella.id.815	10	1.14 (0.90-1.45)	0.2869778888452773	0.8412814193645305	0.8579387167163992	0.9346708047417246	0.5457913574007527	0.0193060223172495
genus.Victivallis.id.2256	11	1.04 (0.97-1.12)	0.2897036030376352	0.8412814193645305	0.4897599735082523	0.5827888138134344	0.8000663321378358	0.4228575009853634
family.Acidaminococcaceae.id.2166	7	0.92 (0.80-1.07)	0.2908214817433057	0.8412814193645305	0.1236787156708335	0.1955784436412635	0.073882560713274	0.6028744863644089
family.FamilyXI.id.1936	8	1.05 (0.96-1.13)	0.2950378556514889	0.8412814193645305	0.9262054880338616	0.8090220240388024	0.5831093745675413	0.3591486639222033
class.Melainabacteria.id.1589	10	0.95 (0.86-1.05)	0.2967266930631541	0.8412814193645305	0.0842382259791149	0.1360718664328904	0.4858501219473753	0.5618556253538725
genus.Prevotella7.id.11182	11	1.04 (0.97-1.12)	0.2981816926091983	0.8412814193645305	0.974149299846376	0.841838783354178	0.5550060795519396	0.8771527707815365
phylum.Actinobacteria.id.400	16	1.13 (0.90-1.42)	0.2990336798689089	0.8412814193645305	0.0334286895696025	0.0498141730657471	0.895271994360921	7.115112852717307e-05
family.Oxalobacteraceae.id.2966	14	1.04 (0.97-1.12)	0.3058711560909692	0.8452351005759656	0.7276860368326474	0.4853292842414447	0.3432376777612398	0.8663093884637447
