taxon	n	OR	b	se	p	qp	or_eg	p_eg	pleio_p	p_wm	fdr
family.Oxalobacteraceae.id.2966	14	0.9277965596823471	-0.07494279470936474	0.02364088927391261	0.001524128489569751	0.13554272343134668	1.0001940639225175	0.9984440202149707	0.44179840716251256	0.0017585166948438516	0.1497528005935714
genus.Oxalobacter.id.2978	10	0.9222176833386606	-0.08097398422674912	0.026865624956353223	0.0025779647216299492	0.09093560259131346	0.8949359779693293	0.4299558459994512	0.8237647040892111	0.014231909278300755	0.1497528005935714
genus..Eubacteriumbrachygroup.id.11296	10	1.065240097175085	0.06320021710974089	0.0212591140555656	0.002950458960812058	0.6568170653090255	0.9639309298800947	0.6276244201643854	0.19518816444094145	0.016916579959403936	0.1497528005935714
order.Clostridiales.id.1863	13	1.1475105878416247	0.13759488978722875	0.046884974295899336	0.0033383461443003437	0.09045751018546755	0.9585018309164972	0.8587294042871405	0.44593956151103104	0.007533438311180511	0.1497528005935714
family.Victivallaceae.id.2255	12	1.0531657373339984	0.051800616145401324	0.01776595421019152	0.0035486445638287065	0.5086970197381671	0.977756474425238	0.7765900444984697	0.3466085663118481	0.255601475728915	0.1497528005935714
genus.Gordonibacter.id.821	12	0.9337569804409416	-0.06853906685655593	0.02605068715552411	0.008513683475714996	0.012958080564273701	0.8503778408914313	0.1783512224634659	0.4101513870363513	0.11064722185504597	0.29939786889597736
genus.FamilyXIIIUCG001.id.11294	8	1.1083211477204145	0.1028463908412954	0.04206367925029093	0.014484550537916857	0.2796848990404001	1.2220865536967127	0.14871239446649523	0.4213555102898274	0.3239233061299678	0.43660573764292243
phylum.Cyanobacteria.id.1500	8	1.0948605303736336	0.09062698563448206	0.04148332756864486	0.02891375109012971	0.060852690022214904	1.178779681420017	0.32637958552589424	0.6345081550557728	0.00275443910482173	0.6681724913637144
genus.Oscillibacter.id.2063	14	0.9242718854080458	-0.07874900234588095	0.036852491300120804	0.032608524147978	0.010865914966125635	0.695592719250269	0.011397627602569665	0.032376900934263694	0.016242842627757895	0.6681724913637144
class.Clostridia.id.1859	12	1.122292639542354	0.11537359264946237	0.05575060687126048	0.038503039118819346	0.02200443754607066	1.1184461776776984	0.7196662170242201	0.9910192598422207	0.012577584762660436	0.6681724913637144
genus.Butyricimonas.id.945	12	1.0867030126163435	0.08314835334411574	0.04036862664750278	0.03942463941568806	0.041820288771036544	1.1670756637678747	0.30043167823477296	0.6091183509062816	0.22046521015480014	0.6681724913637144
class.Actinobacteria.id.419	16	1.0923810375349632	0.08835975193046766	0.04405003074467328	0.04486741426066003	0.007362929473034036	1.2495329839611655	0.13109153222839923	0.32497680486529	0.1017329877800281	0.6681724913637144
genus.Alistipes.id.968	14	0.9334142164600026	-0.06890621474889509	0.034820755275742264	0.047829135136623055	0.6080219216770449	0.7332141186123571	0.03831036920293979	0.08821708702047236	0.27762286113666335	0.6681724913637144
genus.Slackia.id.825	6	1.0622829326859107	0.060420302296068484	0.031330669263953566	0.05379650767206632	0.6566990106237542	1.013574659151752	0.9354876215301459	0.7756966463193447	0.04428095702928335	0.6681724913637144
